word,decision,source,page,confidence,status,reason,hint,sort_order
менљив,deferred,pdf_candidate,685,medium,needs_review,lowercase-entry|previous-line-closed,,
мерино,approved,pdf_candidate,686,medium,needs_review,lowercase-entry|previous-line-closed,,
мерица,approved,pdf_candidate,686,medium,needs_review,lowercase-entry|previous-line-closed,,
меркур,approved,pdf_candidate,687,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
мерљив,deferred,pdf_candidate,687,medium,needs_review,lowercase-entry|previous-line-closed,,
мермер,approved,pdf_candidate,687,medium,needs_review,lowercase-entry|previous-line-closed,,
месити,approved,pdf_candidate,688,medium,needs_review,lowercase-entry|previous-line-closed,,
метати,approved,pdf_candidate,690,medium,needs_review,lowercase-entry|previous-line-closed,,
милети,approved,pdf_candidate,696,medium,needs_review,lowercase-entry|previous-line-closed,,
милота,approved,pdf_candidate,698,medium,needs_review,lowercase-entry|previous-line-closed,,
миљети,approved,pdf_candidate,698,medium,needs_review,lowercase-entry|previous-line-closed,,
мислен,deferred,pdf_candidate,702,medium,needs_review,lowercase-entry|previous-line-closed,,
мистик,approved,pdf_candidate,703,medium,needs_review,lowercase-entry|previous-line-closed,,
митинг,approved,pdf_candidate,703,medium,needs_review,lowercase-entry|previous-line-closed,,
младеж,deferred,pdf_candidate,705,medium,needs_review,lowercase-entry|previous-line-closed,,
млачно,deferred,pdf_candidate,707,medium,needs_review,lowercase-entry|previous-line-closed,,
молити,approved,pdf_candidate,714,medium,needs_review,lowercase-entry|previous-line-closed,,
монстр,approved,pdf_candidate,717,medium,needs_review,lowercase-entry|previous-line-closed,,
морина,approved,pdf_candidate,719,medium,needs_review,lowercase-entry|previous-line-closed,,
мортус,approved,pdf_candidate,719,medium,needs_review,lowercase-entry|previous-line-closed,,
мостар,approved,pdf_candidate,720,medium,needs_review,inflection-after-comma|previous-line-closed|ocr-noise-near-entry,,
мразно,deferred,pdf_candidate,723,medium,needs_review,lowercase-entry|previous-line-closed,,
мрзост,approved,pdf_candidate,726,medium,needs_review,lowercase-entry|previous-line-closed,,
мрљаво,approved,pdf_candidate,726,medium,needs_review,lowercase-entry|previous-line-closed,,
мртвеж,deferred,pdf_candidate,728,medium,needs_review,lowercase-entry|previous-line-closed,,
музиља,approved,pdf_candidate,730,medium,needs_review,lowercase-entry|previous-line-closed,,
муљити,approved,pdf_candidate,731,medium,needs_review,lowercase-entry|previous-line-closed,,
мучила,approved,pdf_candidate,734,medium,needs_review,lowercase-entry|previous-line-closed,,
мушкат,approved,pdf_candidate,735,medium,needs_review,lowercase-entry|previous-line-closed,,
навала,approved,pdf_candidate,692,medium,needs_review,lowercase-entry|previous-line-closed,,
навика,approved,pdf_candidate,740,medium,needs_review,lowercase-entry|previous-line-closed,,
навићи,approved,pdf_candidate,741,medium,needs_review,lowercase-entry|previous-line-closed,,
наврат,approved,pdf_candidate,741,medium,needs_review,lowercase-entry|previous-line-closed,,
навући,approved,pdf_candidate,991,medium,needs_review,lowercase-entry|previous-line-closed,,
нагоре,deferred,pdf_candidate,744,medium,needs_review,lowercase-entry|previous-line-closed,,
надаље,deferred,pdf_candidate,746,medium,needs_review,lowercase-entry|previous-line-closed,,
надићи,approved,pdf_candidate,749,medium,needs_review,lowercase-entry|previous-line-closed,,
надоле,deferred,pdf_candidate,751,medium,needs_review,lowercase-entry|previous-line-closed,,
надути,approved,pdf_candidate,754,medium,needs_review,lowercase-entry|previous-line-closed,,
назути,approved,pdf_candidate,756,medium,needs_review,lowercase-entry|previous-line-closed,,
